DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2021,3.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,BE,2022,10.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2000,4.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2001,2.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2002,2.8,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2003,4.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2004,1.9,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2005,2.0,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2006,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2007,2.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2008,4.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2009,0.2,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2010,2.6,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2011,3.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2012,3.1,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2013,0.4,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2014,-0.3,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2015,-1.5,
ESTAT:PRC_HICP_AIND(1.0),18/08/23 11:00:00,A,RCH_A_AVG,CP00,CY,2016,-1.2,
